Date,Natural Gas Consumption,Trend,Seasonal,Residual
1993-04-01,1712.689,1723.4111874999999,-104.8217617464539,94.09957424645411
1993-05-01,1330.112,1728.2650624999997,-299.91043506205676,-98.24262743794282
1993-06-01,1344.31,1732.6546458333332,-355.9899465868794,-32.35469924645389
1993-07-01,1423.693,1737.7794166666667,-249.53404454787233,-64.55237211879444
1993-08-01,1447.153,1744.5488541666666,-236.62863364361704,-60.76722052304956
1993-09-01,1332.539,1748.3189583333333,-371.28923337765957,-44.49072495567373
1993-10-01,1537.474,1749.6082291666667,-253.63930474290777,41.50507557624104
1993-11-01,1807.45,1753.5415208333334,-9.088791001773046,62.99727016843971
1993-12-01,2161.259,1759.8345625000002,445.2590436613475,-43.834606161347665
1994-01-01,2557.263,1766.544375,719.5820263741134,71.13659862588656
1994-02-01,2330.159,1772.4151041666667,436.682201462766,121.06169437056747
1994-03-01,2071.776,1777.7738541666668,279.3788792109929,14.623266622340168
1994-04-01,1671.515,1780.2127291666666,-104.8217617464539,-3.875967420212575
1994-05-01,1435.357,1783.708625,-299.91043506205676,-48.44118993794325
1994-06-01,1447.663,1787.9766041666667,-355.9899465868794,15.676342420212734
1994-07-01,1455.796,1790.981375,-249.53404454787233,-85.6513304521277
1994-08-01,1486.83,1795.8002291666667,-236.62863364361704,-72.3415955230497
1994-09-01,1408.841,1799.1051874999998,-371.28923337765957,-18.974954122340364
1994-10-01,1514.35,1802.5305625,-253.63930474290777,-34.54125775709241
1994-11-01,1748.263,1806.9095833333333,-9.088791001773046,-49.557792331560364
1994-12-01,2119.285,1809.4355833333334,445.2590436613475,-135.40962699468105
1995-01-01,2432.305,1814.1039791666667,719.5820263741134,-101.38100554078028
1995-02-01,2230.289,1815.6609583333334,436.682201462766,-22.054159796099157
1995-03-01,2143.331,1815.2074375,279.3788792109929,48.74468328900724
1995-04-01,1820.872,1817.9021874999999,-104.8217617464539,107.79157424645412
1995-05-01,1616.918,1824.5602083333333,-299.91043506205676,92.26822672872333
1995-06-01,1458.521,1828.5616041666667,-355.9899465868794,-14.050657579787355
1995-07-01,1591.74,1833.7067916666667,-249.53404454787233,7.567252881205604
1995-08-01,1661.055,1837.6727083333333,-236.62863364361704,60.010925310283824
1995-09-01,1461.606,1841.9671041666666,-371.28923337765957,-9.071870789006994
1995-10-01,1530.314,1843.2307291666666,-253.63930474290777,-59.27742442375876
1995-11-01,1917.002,1845.7992916666667,-9.088791001773046,80.2914993351063
1995-12-01,2342.935,1850.0085,445.2590436613475,47.66745633865253
1996-01-01,2602.488,1847.6204791666664,719.5820263741134,35.28549445921999
1996-02-01,2354.467,1843.6592708333333,436.682201462766,74.12552770390084
1996-03-01,2234.322,1845.8021458333333,279.3788792109929,109.14097495567393
1996-04-01,1858.4,1847.5986249999999,-104.8217617464539,115.62313674645414
1996-05-01,1643.912,1850.8730624999998,-299.91043506205676,92.94937256205696
1996-06-01,1534.687,1853.7912291666664,-355.9899465868794,36.88571742021287
1996-07-01,1538.025,1859.3696874999996,-249.53404454787233,-71.81064295212718
1996-08-01,1569.787,1864.5736874999998,-236.62863364361704,-58.15805385638271
1996-09-01,1475.066,1868.4611249999998,-371.28923337765957,-22.10589162234021
1996-10-01,1585.36,1869.2813541666665,-253.63930474290777,-30.282049423758792
1996-11-01,1929.292,1869.5942083333332,-9.088791001773046,68.78658266843976
1996-12-01,2283.273,1870.818020833333,445.2590436613475,-32.80406449468046
1997-01-01,2540.341,1873.3345,719.5820263741134,-52.57552637411345
1997-02-01,2273.601,1871.5119999999997,436.682201462766,-34.59320146276559
1997-03-01,2156.271,1872.8724583333333,279.3788792109929,4.019662455673995
1997-04-01,1842.037,1873.6026666666667,-104.8217617464539,73.25609507978727
1997-05-01,1649.697,1872.9326458333333,-299.91043506205676,76.6747892287234
1997-06-01,1536.377,1874.4279166666665,-355.9899465868794,17.939029920212818
1997-07-01,1670.662,1876.399270833333,-249.53404454787233,43.79677371453931
1997-08-01,1637.517,1877.7173125,-236.62863364361704,-3.571678856382846
1997-09-01,1538.67,1879.1561874999998,-371.28923337765957,30.803045877659883
1997-10-01,1598.128,1881.2200624999998,-253.63930474290777,-29.452757757092115
1997-11-01,1930.741,1877.3890416666666,-9.088791001773046,62.44074933510646
1997-12-01,2363.301,1874.9484791666664,445.2590436613475,43.093477171986024
1998-01-01,2442.638,1873.4892083333332,719.5820263741134,-150.43323470744667
1998-02-01,2140.021,1873.2014374999999,436.682201462766,-169.8626389627657
1998-03-01,2174.634,1870.100125,279.3788792109929,25.15499578900716
1998-04-01,1757.746,1869.452958333333,-104.8217617464539,-6.885196586879076
1998-05-01,1592.53,1871.3744583333332,-299.91043506205676,21.065976728723513
1998-06-01,1587.735,1873.0664791666663,-355.9899465868794,70.65846742021296
1998-07-01,1723.562,1875.840083333333,-249.53404454787233,97.25596121453918
1998-08-01,1736.622,1880.9124791666666,-236.62863364361704,92.33815447695054
1998-09-01,1595.438,1882.7475833333333,-371.28923337765957,83.97965004432638
1998-10-01,1553.721,1883.2620416666664,-253.63930474290777,-75.90173692375862
1998-11-01,1763.28,1883.2534375,-9.088791001773046,-110.884646498227
1998-12-01,2178.028,1890.0326458333334,445.2590436613475,-157.2636894946811
1999-01-01,2553.096,1892.8796666666667,719.5820263741134,-59.365693040780116
1999-02-01,2142.809,1893.6268125,436.682201462766,-187.5000139627657
1999-03-01,2208.633,1895.5093541666665,279.3788792109929,33.744766622340364
1999-04-01,1855.922,1894.7829583333332,-104.8217617464539,65.9608034131207
1999-05-01,1584.757,1892.1305625,-299.91043506205676,-7.463127437943172
1999-06-01,1530.294,1890.2139166666666,-355.9899465868794,-3.929970079787097
1999-07-01,1686.365,1888.7016041666666,-249.53404454787233,47.19744038120575
1999-08-01,1724.321,1889.3612083333333,-236.62863364361704,71.5884253102837
1999-09-01,1530.672,1888.43325,-371.28923337765957,13.527983377659552
1999-10-01,1629.38,1889.4946041666667,-253.63930474290777,-6.475299423758827
1999-11-01,1733.113,1884.7072916666666,-9.088791001773046,-142.5055006648935
1999-12-01,2225.788,1879.6426458333333,445.2590436613475,-99.11368949468078
2000-01-01,2532.443,1880.5801458333333,719.5820263741134,-67.71917220744649
2000-02-01,2340.654,1882.7136041666665,436.682201462766,21.25819437056748
2000-03-01,2085.459,1884.459375,279.3788792109929,-78.379254210993
2000-04-01,1827.336,1887.0268541666665,-104.8217617464539,45.13090757978746
2000-05-01,1736.144,1887.4210833333332,-299.91043506205676,148.6333517287236
2000-06-01,1615.904,1887.4968749999998,-355.9899465868794,84.39707158687958
2000-07-01,1671.158,1888.0150624999997,-249.53404454787233,32.67698204787257
2000-08-01,1813.262,1887.787770833333,-236.62863364361704,162.1028628102839
2000-09-01,1563.151,1886.678020833333,-371.28923337765957,47.762212544326644
2000-10-01,1610.054,1888.5978541666666,-253.63930474290777,-24.904549423758738
2000-11-01,1928.879,1891.730125,-9.088791001773046,46.23766600177291
2000-12-01,2608.675,1895.9148541666664,445.2590436613475,267.5011021719863
2001-01-01,2676.998,1898.9867083333331,719.5820263741134,58.42926529255351
2001-02-01,2309.464,1906.43475,436.682201462766,-33.65295146276594
2001-03-01,2246.633,1906.2118958333333,279.3788792109929,61.04222495567359
2001-04-01,1807.17,1903.8703958333333,-104.8217617464539,8.12136591312067
2001-05-01,1522.382,1902.4108125,-299.91043506205676,-80.1183774379432
2001-06-01,1444.378,1899.0373749999999,-355.9899465868794,-98.66942841312056
2001-07-01,1598.071,1897.2481874999999,-249.53404454787233,-49.64314295212762
2001-08-01,1669.178,1895.7327500000001,-236.62863364361704,10.073883643617023
2001-09-01,1494.128,1893.6052916666667,-371.28923337765957,-28.188058289007245
2001-10-01,1649.073,1892.0179791666665,-253.63930474290777,10.694325576241397
2001-11-01,1700.95,1892.4456666666665,-9.088791001773046,-182.40687566489342
2001-12-01,2120.198,1893.2346458333332,445.2590436613475,-218.2956894946808
2002-01-01,2487.638,1896.221958333333,719.5820263741134,-128.16598470744657
2002-02-01,2242.427,1899.7728541666665,436.682201462766,-94.0280556294324
2002-03-01,2258.431,1900.0949791666667,279.3788792109929,78.95714162234043
2002-04-01,1880.985,1898.3832083333332,-104.8217617464539,87.42355341312062
2002-05-01,1611.453,1894.9852708333333,-299.91043506205676,16.37816422872345
2002-06-01,1591.373,1892.2306875,-355.9899465868794,55.132259086879515
2002-07-01,1748.435,1890.4343333333331,-249.53404454787233,107.53471121453913
2002-08-01,1725.712,1885.5322499999997,-236.62863364361704,76.80838364361728
2002-09-01,1542.17,1883.8447291666666,-371.28923337765957,29.614504210993005
