Date,Petroleum Consumption,Trend,Seasonal,Residual
1994-08-01,8424.467235178907,8038.4440154204785,268.23947963699675,117.78374012143149
1994-09-01,8072.225113873576,8050.950310844912,14.2468051340108,7.027997894653991
1994-10-01,8131.766030776488,8070.392065995082,99.00787891494086,-37.6339141335345
1994-11-01,7927.120673895338,8086.064107151505,-50.40179689815918,-108.54163635800765
1994-12-01,8272.52793618462,8090.8463294499015,-8.518792236944865,190.2003989716639
1995-01-01,7727.386689955687,8109.9769701687055,-334.0262144046501,-48.56406580836847
1995-02-01,8034.381448445471,8123.6604303832,-190.02806382467529,100.74908188694585
1995-03-01,8081.85807747827,8132.569869303918,-93.8382312885889,43.126439462941704
1995-04-01,7958.163347635778,8150.990377464264,-65.0548131647316,-127.77221666375445
1995-05-01,8124.529953953165,8168.354888829044,-10.345676805530807,-33.47925807034827
1995-06-01,8522.379225648325,8184.5227796665395,206.42726576236777,131.42918021941756
1995-07-01,8026.246629831088,8204.21540278829,164.29215917496464,-342.26093213216615
1995-08-01,8387.476418017914,8219.784011473606,268.23947963699675,-100.54707309268952
1995-09-01,8385.944894762502,8231.1642604198,14.2468051340108,140.5338292086911
1995-10-01,8256.549304525932,8247.882714053092,99.00787891494086,-90.34128844210112
1995-11-01,8253.33794602719,8256.800529496984,-50.40179689815918,46.9392134283647
1995-12-01,8191.658878884528,8269.268652913117,-8.518792236944865,-69.09098179164376
1996-01-01,7962.986895767086,8282.173765107644,-334.0262144046501,14.839345064092413
1996-02-01,8169.393006138363,8288.938119674769,-190.02806382467529,70.48295028826882
1996-03-01,8223.802780440637,8302.728967956238,-93.8382312885889,14.912043772988142
1996-04-01,8305.39517298671,8320.592981160538,-65.0548131647316,49.85700499090271
1996-05-01,8447.147966982186,8331.984447967501,-10.345676805530807,125.50919582021524
1996-06-01,8463.234618013092,8345.154949580845,206.42726576236777,-88.347597330121
1996-07-01,8516.739933471794,8363.979424206964,164.29215917496464,-11.531649910134604
1996-08-01,8749.556576511395,8373.598103846032,268.23947963699675,107.71899302836619
1996-09-01,8221.288963884495,8387.417539519563,14.2468051340108,-180.37538076907884
1996-10-01,8820.87366919673,8402.962835346316,99.00787891494086,318.90295493547296
1996-11-01,8377.334428264008,8416.80562134486,-50.40179689815918,10.93060381730752
1996-12-01,8201.500550881066,8427.846284796495,-8.518792236944865,-217.82694167848348
1997-01-01,8040.201120306308,8439.661118890486,-334.0262144046501,-65.43378417952772
1997-02-01,8273.769380070868,8448.488496595326,-190.02806382467529,15.308947300216772
1997-03-01,8203.539316368951,8461.912335828645,-93.8382312885889,-164.53478817110485
1997-04-01,8584.075736270255,8479.982254678955,-65.0548131647316,169.1482947560322
1997-05-01,8552.999247907515,8493.83568602768,-10.345676805530807,69.50923868536628
1997-06-01,8641.172921808255,8508.084769312594,206.42726576236777,-73.33911326670744
1997-07-01,8847.212862505241,8531.690689049541,164.29215917496464,151.23001428073525
1997-08-01,8633.943048302215,8549.870825448077,268.23947963699675,-184.16725678285866
1997-09-01,8542.764717364227,8562.95407458911,14.2468051340108,-34.43616235889357
1997-10-01,8720.87523871953,8582.954581066053,99.00787891494086,38.912778738537114
1997-11-01,8461.157877384667,8595.173914165971,-50.40179689815918,-83.61423988314496
1997-12-01,8612.816554003772,8620.82979207003,-8.518792236944865,0.5055541706868105
1998-01-01,8246.174688335788,8629.743894316682,-334.0262144046501,-49.54299157624337
1998-02-01,8283.444451213723,8644.550649498899,-190.02806382467529,-171.0781344604999
1998-03-01,8452.79825818254,8657.779445721546,-93.8382312885889,-111.14295625041709
1998-04-01,8863.086903531079,8669.45285485506,-65.0548131647316,258.68886184074984
1998-05-01,8482.319263639627,8683.703185163675,-10.345676805530807,-191.03824471851695
1998-06-01,8810.713875153528,8702.294552127545,206.42726576236777,-98.00794273638525
1998-07-01,8980.672533253843,8718.386277075013,164.29215917496464,97.99409700386508
1998-08-01,8886.163857854172,8733.84392077984,268.23947963699675,-115.91954256266536
1998-09-01,8735.558026203062,8753.645684690753,14.2468051340108,-32.33446362170224
1998-10-01,8877.940230460654,8761.898677457859,99.00787891494086,17.03367408785404
1998-11-01,8591.574401825503,8772.601626982387,-50.40179689815918,-130.62542825872484
1998-12-01,8802.479781863027,8791.689085531307,-8.518792236944865,19.309488568664893
1999-01-01,8294.49872646735,8803.058001325231,-334.0262144046501,-174.53306045323188
1999-02-01,8458.09557827774,8812.51395206615,-190.02806382467529,-164.39030996373518
1999-03-01,8726.202360677587,8827.286729466075,-93.8382312885889,-7.246137499899163
1999-04-01,8825.519452450653,8836.660333868896,-65.0548131647316,53.91393174648837
1999-05-01,8789.494658691943,8848.407008367296,-10.345676805530807,-48.566672869821936
1999-06-01,9206.33522332424,8858.471898182544,206.42726576236777,141.43605937932813
1999-07-01,9159.330777204468,8869.344187089475,164.29215917496464,125.69443094002867
1999-08-01,9260.122965147673,8883.669398475617,268.23947963699675,108.21408703505995
1999-09-01,9013.940853532125,8891.511221465156,14.2468051340108,108.18282693295833
1999-10-01,9216.57361541911,8901.271056414977,99.00787891494086,216.29468008919343
1999-11-01,8839.865934823301,8911.113854876508,-50.40179689815918,-20.84612315504787
1999-12-01,9423.141018279333,8911.81572930978,-8.518792236944865,519.8440812064989
2000-01-01,8390.863803606417,8921.236003889877,-334.0262144046501,-196.3459858788101
2000-02-01,8880.117254884812,8932.816167279532,-190.02806382467529,137.32915142995475
2000-03-01,8858.784999127653,8944.205583374916,-93.8382312885889,8.417647041325068
2000-04-01,8865.718811395456,8950.192329343281,-65.0548131647316,-19.418704783093204
2000-05-01,9131.163821795637,8966.68572322807,-10.345676805530807,174.82377537309694
2000-06-01,9355.620232278921,8979.267130612783,206.42726576236777,169.9258359037704
2000-07-01,9289.142730950285,8988.822835207913,164.29215917496464,136.02773656740732
2000-08-01,9491.523474343032,9001.934932460837,268.23947963699675,221.34906224519773
2000-09-01,9171.773631608314,9009.874608153405,14.2468051340108,147.65221832089838
2000-10-01,9217.017322017768,9015.741220355845,99.00787891494086,102.26822274698158
