Date,Petroleum Consumption,Trend,Seasonal,Residual
1986-04-01,7141.450028605539,7140.262602960765,-65.0548131647317,66.24223880950531
1986-05-01,7154.65587199025,7149.281491682818,-10.345676805530768,15.720057112962007
1986-06-01,7234.974953455204,7165.512059049621,206.4272657623679,-136.96437135678488
1986-07-01,7320.150881369795,7177.587610430668,164.2921591749646,-21.728888235838014
1986-08-01,7404.201301358539,7190.130814022921,268.23947963699663,-54.16899230137858
1986-09-01,7074.154632006952,7208.904867217717,14.246805134010783,-148.99704034477568
1986-10-01,7355.213105177999,7225.704944192568,99.00787891494086,30.50028207048969
1986-11-01,7122.333080395141,7243.66486780075,-50.401796898159084,-70.92999050744925
1986-12-01,7424.011915142069,7268.410251660987,-8.518792236944787,164.12045571802602
1987-01-01,7000.022704224067,7281.5482100113795,-334.02621440465015,52.50070861733735
1987-02-01,7225.1266134561565,7297.9892071012855,-190.02806382467534,117.16547017954636
1987-03-01,7081.094580951661,7318.559424914631,-93.838231288589,-143.62661267438102
1987-04-01,7421.770774982712,7327.219463037387,-65.0548131647317,159.606125110057
1987-05-01,7321.341574789323,7336.929988665304,-10.345676805530768,-5.242737070450364
1987-06-01,7591.456684406716,7355.6095354140125,206.4272657623679,29.419883230335387
1987-07-01,7676.663123782258,7365.152088088678,164.2921591749646,147.21887651861468
1987-08-01,7401.460803786114,7378.150830321329,268.23947963699663,-244.92950617221084
1987-09-01,7496.795188662277,7393.994065247096,14.246805134010783,88.5543182811701
1987-10-01,7548.566486190308,7409.002612661778,99.00787891494086,40.555994613589306
1987-11-01,7195.721714466772,7425.618489861023,-50.401796898159084,-179.49497849609156
1987-12-01,7506.970389384644,7444.52123328832,-8.518792236944787,70.96794833326814
1988-01-01,7286.879770637777,7457.858840198305,-334.02621440465015,163.04714484412222
1988-02-01,7597.574023253582,7474.975550786803,-190.02806382467534,312.62653629145404
1988-03-01,7715.053006004213,7487.1470912978,-93.838231288589,321.74414599500165
1988-04-01,7533.883360398629,7495.003408596876,-65.0548131647317,103.93476496648391
1988-05-01,7384.397881141322,7506.243230105705,-10.345676805530768,-111.49967215885268
1988-06-01,7799.870191838205,7516.00020951762,206.4272657623679,77.44271655821731
1988-07-01,7491.271293813935,7523.479799346548,164.2921591749646,-196.50066470757795
1988-08-01,7718.116618623975,7539.055841977665,268.23947963699663,-89.1787029906867
1988-09-01,7662.370914353007,7546.179444859476,14.246805134010783,101.94466435952047
1988-10-01,7713.081268189084,7552.708450066761,99.00787891494086,61.36493920738236
1988-11-01,7660.614744335944,7561.80248118061,-50.401796898159084,149.2140600534933
1988-12-01,7803.204087600697,7559.961581530077,-8.518792236944787,251.76129830756483
1989-01-01,7325.332021290604,7565.841528914432,-334.02621440465015,93.51670678082161
1989-02-01,7570.1214158727935,7566.283753509706,-190.02806382467534,193.86572618776282
1989-03-01,7762.965110217881,7571.384191874033,-93.838231288589,285.41914963243767
1989-04-01,7429.987019981319,7569.7627859792465,-65.0548131647317,-74.72095283319622
1989-05-01,7512.878244920116,7571.480853133735,-10.345676805530768,-48.25693140808785
1989-06-01,7911.543098550671,7573.981780571674,206.4272657623679,131.13405221662916
1989-07-01,7470.922855275962,7575.21205394177,164.2921591749646,-268.5813578407724
1989-08-01,7852.068174983085,7583.991589094416,268.23947963699663,-0.16289374832774683
1989-09-01,7528.608196474592,7586.523074054194,14.246805134010783,-72.16168271361282
1989-10-01,7797.362237402212,7590.20266104319,99.00787891494086,108.15169744408037
1989-11-01,7646.502731474309,7595.906980455905,-50.401796898159084,100.99754791656346
1989-12-01,7910.950924430658,7598.323456638641,-8.518792236944787,321.1462600289621
1990-01-01,7364.237555072238,7600.176060942442,-334.02621440465015,98.08770853444645
1990-02-01,7597.440614767451,7597.907930066489,-190.02806382467534,189.56074852563725
