Date,Natural Gas Consumption,Trend,Seasonal,Residual
1978-03-01,1918.0,1662.9887291666664,279.37887921099286,-24.36760837765928
1978-04-01,1539.0,1663.5430208333332,-104.82176174645386,-19.72125908687937
1978-05-01,1380.0,1661.9364791666667,-299.91043506205676,17.973955895390077
1978-06-01,1249.0,1660.2676041666666,-355.9899465868794,-55.27765757978722
1978-07-01,1333.0,1658.6705,-249.53404454787233,-76.13645545212762
1978-08-01,1285.0,1657.9484791666666,-236.6286336436171,-136.31984552304954
1978-09-01,1235.0,1657.8919375,-371.28923337765957,-51.60270412234047
1978-10-01,1440.0,1655.8349791666665,-253.63930474290783,37.804325576241354
1978-11-01,1658.0,1653.4507916666666,-9.088791001773032,13.637999335106386
1978-12-01,2069.0,1651.3040624999999,445.2590436613475,-27.563106161347378
1979-01-01,2426.0,1648.6291875,719.5820263741133,57.78878612588676
1979-02-01,2204.0,1650.2750833333332,436.68220146276593,117.04271520390085
1979-03-01,1881.0,1654.1173958333331,279.37887921099286,-52.49627504432601
1979-04-01,1594.0,1655.139333333333,-104.82176174645386,43.68242841312079
1979-05-01,1429.0,1656.1249583333333,-299.91043506205676,72.78547672872344
1979-06-01,1309.0,1655.6202708333333,-355.9899465868794,9.369675753546119
1979-07-01,1330.0,1655.3841458333334,-249.53404454787233,-75.85010128546105
1979-08-01,1342.0,1654.3125625,-236.6286336436171,-75.68392885638292
1979-09-01,1329.0,1650.9339791666666,-371.28923337765957,49.35525421099294
1979-10-01,1557.0,1650.9479374999999,-253.63930474290783,159.69136724290797
1979-11-01,1768.0,1649.4648333333332,-9.088791001773032,127.62395766843981
1979-12-01,2072.0,1648.8072499999998,445.2590436613475,-22.066293661347345
1980-01-01,2237.743,1649.1754791666667,719.5820263741133,-131.01450554078008
1980-02-01,2146.771,1645.9469791666668,436.68220146276593,64.14181937056748
1980-03-01,2053.945,1644.2709375,279.37887921099286,130.29518328900735
1980-04-01,1534.606,1643.1531041666665,-104.82176174645386,-3.725342420212627
1980-05-01,1356.886,1638.0666041666664,-299.91043506205676,18.729830895390364
1980-06-01,1254.894,1635.2657083333334,-355.9899465868794,-24.381761746453947
1980-07-01,1295.339,1631.3452499999999,-249.53404454787233,-86.47220545212758
1980-08-01,1282.343,1628.5608958333332,-236.6286336436171,-109.58926218971607
1980-09-01,1299.286,1626.5865625,-371.28923337765957,43.98867087765973
1980-10-01,1522.266,1623.8782916666664,-253.63930474290783,152.02701307624147
1980-11-01,1760.559,1621.8257291666666,-9.088791001773032,147.82206183510635
1980-12-01,2128.957,1614.9430208333333,445.2590436613475,68.75493550531905
1981-01-01,2278.606,1610.5099791666667,719.5820263741133,-51.48600554077973
1981-02-01,1895.003,1602.9951875000002,436.68220146276593,-144.67438896276616
1981-03-01,1899.431,1600.2066875,279.37887921099286,19.845433289007133
