DATE,og_employees
1990-01-01,157.0237043427440000
1990-04-01,160.1960045647683333
1990-07-01,162.9924806162359933
1990-10-01,166.4592207805039933
1991-01-01,170.3513725569686667
1991-04-01,170.8465365308759867
1991-07-01,168.2305441998246700
1991-10-01,164.3064706365509933
1992-01-01,161.4268602372870000
1992-04-01,158.9255955026336667
1992-07-01,157.1672217979083333
1992-10-01,155.8201067922286667
1993-01-01,154.9873518328940000
1993-04-01,154.8832833483683333
1993-07-01,155.8682332854793333
1993-10-01,156.2424260114523333
1994-01-01,155.1141901068940000
1994-04-01,154.0948617022119933
1994-07-01,152.6172482018520067
1994-10-01,152.4075289944939933
1995-01-01,150.5617892528963333
1995-04-01,149.5923027295733300
1995-07-01,148.9771340557966667
1995-10-01,147.5500899377823333
1996-01-01,147.2729554399166667
1996-04-01,149.1360400613023367
1996-07-01,150.1223555576426667
1996-10-01,151.4138108793956667
1997-01-01,153.9556280455379933
1997-04-01,156.0253720943283333
1997-07-01,161.4757553826746600
1997-10-01,163.5160971873870000
1998-01-01,164.9257364249153400
1998-04-01,161.7412240872646600
1998-07-01,158.5406836713643333
1998-10-01,153.9269207171330000
1999-01-01,144.5904119356650000
1999-04-01,140.2720935241170000
1999-07-01,138.1057700567240000
1999-10-01,139.3374886459933333
2000-01-01,141.3408398204196733
2000-04-01,141.9562802672386600
2000-07-01,144.0027124585960067
2000-10-01,147.4582737366520000
2001-01-01,149.9307389428796600
2001-04-01,154.5394737722116667
2001-07-01,156.4505753272533333
2001-10-01,154.9105645662690000
2002-01-01,148.4731449487680067
2002-04-01,146.6233559044393400
2002-07-01,145.3878165264850000
2002-10-01,144.6602201273173333
2003-01-01,144.7423992087070067
2003-04-01,146.7614801094506667
2003-07-01,148.3087860275840067
2003-10-01,148.7089357099953333
2004-01-01,150.6715182142030000
2004-04-01,151.8458362777206667
2004-07-01,153.3583335016290000
2004-10-01,156.2535683056873400
2005-01-01,160.0169884001746733
2005-04-01,163.8832360066943333
2005-07-01,167.8106681653753333
2005-10-01,171.6610444170406600
2006-01-01,176.0916797564366667
2006-04-01,182.5472938194929833
2006-07-01,188.7880532787603467
2006-10-01,194.2932872040976667
2007-01-01,199.5887681739049933
2007-04-01,205.0710552128329967
2007-07-01,209.4570726834416667
2007-10-01,213.4579151308523200
2008-01-01,220.3815757417676667
2008-04-01,226.7056165020726567
2008-07-01,232.5139162431410133
2008-10-01,234.9742631042753333
2009-01-01,221.2203302293463400
2009-04-01,200.6034510901643400
2009-07-01,191.6610557367796700
2009-10-01,189.6493265929490000
2010-01-01,195.0941969584346600
2010-04-01,203.0250673656683333
2010-07-01,208.2218298465209867
2010-10-01,213.3765762317586667
2011-01-01,220.6328793907886533
2011-04-01,230.4742112036056667
2011-07-01,241.6229699183933400
2011-10-01,251.2469745482460067
2012-01-01,260.0667551414566667
2012-04-01,268.1726756200313333
2012-07-01,273.1053125086040000
2012-10-01,276.7298553695880000
2013-01-01,280.7464914491796667
2013-04-01,287.0280222948956667
2013-07-01,290.8436085947826500
2013-10-01,292.2464071852926667
2014-01-01,298.3915617477390000
2014-04-01,307.4714862287146667
2014-07-01,314.6464737386423200
2014-10-01,318.7237007025106667
2015-01-01,302.1049422184190000
2015-04-01,275.3331778111850000
2015-07-01,260.6050061681683433
2015-10-01,246.2715780686700000
2016-01-01,227.8683188828946633
2016-04-01,211.7205559797010000
2016-07-01,204.4991655488596600
2016-10-01,203.7050802845723433
2017-01-01,210.6046900160980033
2017-04-01,219.2055564987473333
2017-07-01,224.3721680369496667
2017-10-01,228.6704711220099867
2018-01-01,234.4621810369473333
2018-04-01,242.7119902297003300
2018-07-01,248.9301181149166667
2018-10-01,253.7829270906776833
2019-01-01,253.3131528594123400
2019-04-01,251.9508064117310100
2019-07-01,246.7597748426933267
2019-10-01,238.6706269111313400
2020-01-01,232.9613832123820000
2020-04-01,188.5264535279753333
2020-07-01,168.9908981080563333
2020-10-01,170.3304734284160000
2021-01-01,173.4753511453693333
2021-04-01,176.8066110309483400
2021-07-01,180.3470020264949933
2021-10-01,185.4371961192533333
2022-01-01,189.7249093995306600
2022-04-01,195.9536969154906600
2022-07-01,202.6361328431746667
2022-10-01,207.2813948910303500
2023-01-01,212.2852922988309767
2023-04-01,212.4820154836320033
2023-07-01,212.1036534188996567
2023-10-01,211.5102974414816667
2024-01-01,.
