DATE,service_employees
1990-01-01,1248.5666666666666667
1990-04-01,1261.1000000000000000
1990-07-01,1266.7000000000000000
1990-10-01,1267.6666666666666667
1991-01-01,1271.4000000000000000
1991-04-01,1281.4000000000000000
1991-07-01,1280.6666666666666667
1991-10-01,1285.9333333333333333
1992-01-01,1290.6666666666666667
1992-04-01,1297.5333333333333333
1992-07-01,1305.9333333333333333
1992-10-01,1313.3000000000000000
1993-01-01,1320.6000000000000000
1993-04-01,1328.6666666666666667
1993-07-01,1337.8333333333333333
1993-10-01,1358.6000000000000000
1994-01-01,1372.5333333333333333
1994-04-01,1381.9333333333333333
1994-07-01,1397.6666666666666667
1994-10-01,1411.1333333333333333
1995-01-01,1423.7000000000000000
1995-04-01,1433.8666666666666667
1995-07-01,1442.1333333333333333
1995-10-01,1441.1666666666666667
1996-01-01,1448.5000000000000000
1996-04-01,1459.3333333333333333
1996-07-01,1464.9666666666666667
1996-10-01,1472.9000000000000000
1997-01-01,1478.5000000000000000
1997-04-01,1485.7000000000000000
1997-07-01,1494.5333333333333333
1997-10-01,1507.4000000000000000
1998-01-01,1507.0666666666666667
1998-04-01,1519.3333333333333333
1998-07-01,1524.0333333333333333
1998-10-01,1525.2333333333333333
1999-01-01,1529.2000000000000000
1999-04-01,1529.9333333333333333
1999-07-01,1544.5000000000000000
1999-10-01,1555.1333333333333333
2000-01-01,1563.1333333333333333
2000-04-01,1567.3000000000000000
2000-07-01,1565.6333333333333333
2000-10-01,1569.4000000000000000
2001-01-01,1574.3666666666666667
2001-04-01,1570.1000000000000000
2001-07-01,1566.2000000000000000
2001-10-01,1566.0000000000000000
2002-01-01,1564.0666666666666667
2002-04-01,1570.9666666666666667
2002-07-01,1571.6333333333333333
2002-10-01,1570.6000000000000000
2003-01-01,1580.6000000000000000
2003-04-01,1582.3333333333333333
2003-07-01,1585.2666666666666667
2003-10-01,1592.5666666666666667
2004-01-01,1598.5333333333333333
2004-04-01,1603.5000000000000000
2004-07-01,1606.0333333333333333
2004-10-01,1610.0666666666666667
2005-01-01,1612.8000000000000000
2005-04-01,1623.9666666666666667
2005-07-01,1594.5333333333333333
2005-10-01,1475.8666666666666667
2006-01-01,1497.2666666666666667
2006-04-01,1515.8333333333333333
2006-07-01,1532.9666666666666667
2006-10-01,1544.0000000000000000
2007-01-01,1566.7333333333333333
2007-04-01,1565.6666666666666667
2007-07-01,1576.6333333333333333
2007-10-01,1590.7333333333333333
2008-01-01,1594.4333333333333333
2008-04-01,1597.5333333333333333
2008-07-01,1594.6333333333333333
2008-10-01,1600.0000000000000000
2009-01-01,1590.6666666666666667
2009-04-01,1577.6333333333333333
2009-07-01,1577.8000000000000000
2009-10-01,1572.1333333333333333
2010-01-01,1568.3666666666666667
2010-04-01,1580.7666666666666667
2010-07-01,1576.2333333333333333
2010-10-01,1577.1666666666666667
2011-01-01,1584.6000000000000000
2011-04-01,1585.2000000000000000
2011-07-01,1590.9666666666666667
2011-10-01,1594.6666666666666667
2012-01-01,1598.1000000000000000
2012-04-01,1608.5333333333333333
2012-07-01,1602.9333333333333333
2012-10-01,1609.4333333333333333
2013-01-01,1618.6000000000000000
2013-04-01,1623.1000000000000000
2013-07-01,1626.5666666666666667
2013-10-01,1632.3000000000000000
2014-01-01,1634.7333333333333333
2014-04-01,1640.8333333333333333
2014-07-01,1647.5333333333333333
2014-10-01,1657.3333333333333333
2015-01-01,1660.6000000000000000
2015-04-01,1662.4000000000000000
2015-07-01,1666.8333333333333333
2015-10-01,1666.3666666666666667
2016-01-01,1661.9666666666666667
2016-04-01,1663.1000000000000000
2016-07-01,1660.3000000000000000
2016-10-01,1657.6333333333333333
2017-01-01,1658.8333333333333333
2017-04-01,1657.9333333333333333
2017-07-01,1656.8666666666666667
2017-10-01,1658.4000000000000000
2018-01-01,1662.1000000000000000
2018-04-01,1667.4666666666666667
2018-07-01,1667.0000000000000000
2018-10-01,1670.0333333333333333
2019-01-01,1673.5333333333333333
2019-04-01,1678.1333333333333333
2019-07-01,1678.4666666666666667
2019-10-01,1678.4666666666666667
2020-01-01,1676.0000000000000000
2020-04-01,1463.2666666666666667
2020-07-01,1530.2333333333333333
2020-10-01,1563.8666666666666667
2021-01-01,1569.8000000000000000
2021-04-01,1584.4666666666666667
2021-07-01,1589.5666666666666667
2021-10-01,1613.3666666666666667
2022-01-01,1620.9000000000000000
2022-04-01,1629.3000000000000000
2022-07-01,1644.2666666666666667
2022-10-01,1646.1333333333333333
2023-01-01,1653.8333333333333333
2023-04-01,1654.4333333333333333
2023-07-01,1654.3333333333333333
2023-10-01,1651.9000000000000000
2024-01-01,.
