DATE,SMU22000001021100001SA
2004-01-01,8.9883785123155670
2004-04-01,8.7697790959223700
2004-07-01,8.4692918019953200
2004-10-01,8.2407212799281400
2005-01-01,8.1208392542551003
2005-04-01,8.0033770046920270
2005-07-01,7.7358807408016097
2005-10-01,7.5405418858600870
2006-01-01,7.4217566349494833
2006-04-01,7.3708358775916773
2006-07-01,7.5012793141925297
2006-10-01,7.7406343439388170
2007-01-01,7.7879922237093033
2007-04-01,7.9374382727161730
2007-07-01,8.2684401700915063
2007-10-01,8.3086604954972797
2008-01-01,8.6193498815308333
2008-04-01,8.7030837963365163
2008-07-01,8.7351269858512733
2008-10-01,8.9836465744967937
2009-01-01,8.8758077757809533
2009-04-01,8.8329199340935063
2009-07-01,8.7092323926483237
2009-10-01,8.5600152086794290
2010-01-01,8.4600549025622903
2010-04-01,8.5292548614397500
2010-07-01,8.6210337358157167
2010-10-01,8.6045920877828233
2011-01-01,8.6365214952044033
2011-04-01,8.7267892411319967
2011-07-01,8.9724562298338700
2011-10-01,9.2133595080212980
2012-01-01,9.4433785548198970
2012-04-01,9.4283122825169340
2012-07-01,9.3234056957891033
2012-10-01,9.3207059976483967
2013-01-01,9.4169056409603733
2013-04-01,9.4307850228805563
2013-07-01,9.4418504029816400
2013-10-01,9.3540056414515327
2014-01-01,9.1338844776558800
2014-04-01,9.0334925312994830
2014-07-01,8.9536101473744997
2014-10-01,8.8474401245113833
2015-01-01,8.8630264180426333
2015-04-01,8.4359187139220070
2015-07-01,8.0596289853321203
2015-10-01,7.6682665835534833
2016-01-01,7.4386137385734033
2016-04-01,6.9382930216628167
2016-07-01,6.6576809212246697
2016-10-01,6.4222304139215368
2017-01-01,6.2179245312560865
2017-04-01,6.2748643307944630
2017-07-01,6.2540779882621230
2017-10-01,6.1755049694699502
2018-01-01,6.0319433077170463
2018-04-01,5.9101983701287300
2018-07-01,5.7854862549177207
2018-10-01,5.7961084903269442
2019-01-01,5.6080502271895832
2019-04-01,5.8132000345380903
2019-07-01,5.9898883343881170
2019-10-01,5.9141946336333937
2020-01-01,5.9809113691604937
2020-04-01,5.7487318085157570
2020-07-01,5.7976862568713767
2020-10-01,5.8349937540148638
2021-01-01,5.5145621132740763
2021-04-01,5.5516413074534497
2021-07-01,5.4404334205020997
2021-10-01,5.3898019550729433
2022-01-01,5.2820500442055932
2022-04-01,5.2853843052131470
2022-07-01,5.3153330625629702
2022-10-01,5.4137296795325768
2023-01-01,5.5501953431524733
2023-04-01,5.5528556683611837
2023-07-01,5.6538484230986963
2023-10-01,5.6396557378971200
2024-01-01,.
