DATE,SMS06000000700000001
1990-01-01,9836.4666666666666667
1990-04-01,9881.6666666666666667
1990-07-01,9914.5666666666666667
1990-10-01,9931.7000000000000000
1991-01-01,9933.3333333333333333
1991-04-01,9918.7000000000000000
1991-07-01,9918.8666666666666667
1991-10-01,9900.7000000000000000
1992-01-01,9882.7000000000000000
1992-04-01,9896.1666666666666667
1992-07-01,9883.3333333333333333
1992-10-01,9879.9666666666666667
1993-01-01,9894.6666666666666667
1993-04-01,9872.7333333333333333
1993-07-01,9923.8000000000000000
1993-10-01,9930.0333333333333333
1994-01-01,9968.9333333333333333
1994-04-01,9993.4333333333333333
1994-07-01,10036.4666666666666667
1994-10-01,10089.4000000000000000
1995-01-01,10152.7333333333333333
1995-04-01,10211.4666666666666667
1995-07-01,10257.7333333333333333
1995-10-01,10307.9000000000000000
1996-01-01,10400.8000000000000000
1996-04-01,10444.0666666666666667
1996-07-01,10511.0333333333333333
1996-10-01,10594.2000000000000000
1997-01-01,10658.7666666666666667
1997-04-01,10780.4000000000000000
1997-07-01,10828.1333333333333333
1997-10-01,10918.1000000000000000
1998-01-01,11036.1333333333333333
1998-04-01,11124.1333333333333333
1998-07-01,11249.2666666666666667
1998-10-01,11343.5000000000000000
1999-01-01,11391.1000000000000000
1999-04-01,11493.7666666666666667
1999-07-01,11610.5666666666666667
1999-10-01,11716.0666666666666667
2000-01-01,11806.1333333333333333
2000-04-01,11941.3666666666666667
2000-07-01,12037.1000000000000000
2000-10-01,12102.8000000000000000
2001-01-01,12166.4000000000000000
2001-04-01,12156.8000000000000000
2001-07-01,12118.9666666666666667
2001-10-01,12092.5333333333333333
2002-01-01,12124.2666666666666667
2002-04-01,12179.4333333333333333
2002-07-01,12174.8333333333333333
2002-10-01,12202.3666666666666667
2003-01-01,12193.1000000000000000
2003-04-01,12218.5000000000000000
2003-07-01,12212.5666666666666667
2003-10-01,12227.1333333333333333
2004-01-01,12267.7000000000000000
2004-04-01,12312.8666666666666667
2004-07-01,12369.6666666666666667
2004-10-01,12451.1000000000000000
2005-01-01,12501.0333333333333333
2005-04-01,12565.2333333333333333
2005-07-01,12653.0666666666666667
2005-10-01,12726.0333333333333333
2006-01-01,12776.3000000000000000
2006-04-01,12853.7333333333333333
2006-07-01,12917.0000000000000000
2006-10-01,12959.8000000000000000
2007-01-01,13021.9000000000000000
2007-04-01,13047.3666666666666667
2007-07-01,13107.5000000000000000
2007-10-01,13128.8333333333333333
2008-01-01,13122.6000000000000000
2008-04-01,13127.8333333333333333
2008-07-01,13064.0000000000000000
2008-10-01,12902.2333333333333333
2009-01-01,12692.5000000000000000
2009-04-01,12536.8000000000000000
2009-07-01,12390.9333333333333333
2009-10-01,12387.0000000000000000
2010-01-01,12356.3333333333333333
2010-04-01,12473.6333333333333333
2010-07-01,12454.4333333333333333
2010-10-01,12506.4666666666666667
2011-01-01,12538.4666666666666667
2011-04-01,12559.6000000000000000
2011-07-01,12609.1000000000000000
2011-10-01,12660.3333333333333333
2012-01-01,12761.9000000000000000
2012-04-01,12844.5333333333333333
2012-07-01,12918.2333333333333333
2012-10-01,12999.4666666666666667
2013-01-01,13087.1333333333333333
2013-04-01,13180.9333333333333333
2013-07-01,13262.4000000000000000
2013-10-01,13351.900000000000
2014-01-01,13445.900000000000
2014-04-01,13543.966666666667
2014-07-01,13628.433333333333
2014-10-01,13735.333333333333
2015-01-01,13814.166666666667
2015-04-01,13907.800000000000
2015-07-01,14056.200000000000
2015-10-01,14161.900000000000
2016-01-01,14229.233333333333
2016-04-01,14331.433333333333
2016-07-01,14423.066666666667
2016-10-01,14490.100000000000
2017-01-01,14556.266666666667
2017-04-01,14652.466666666667
2017-07-01,14715.066666666667
2017-10-01,14793.600000000000
2018-01-01,14878.300000000000
2018-04-01,14929.766666666667
2018-07-01,14980.966666666667
2018-10-01,15058.800000000000
2019-01-01,15110.766666666667
2019-04-01,15150.866666666667
2019-07-01,15212.100000000000
2019-10-01,15292.400000000000
2020-01-01,15356.700000000000
2020-04-01,13160.4333333333333333
2020-07-01,13658.333333333333
2020-10-01,13989.000000000000
2021-01-01,14037.000000000000
2021-04-01,14424.066666666667
2021-07-01,14743.666666666667
2021-10-01,15059.000000000000
2022-01-01,15232.166666666667
2022-04-01,15377.700000000000
2022-07-01,15475.133333333333
2022-10-01,15514.433333333333
2023-01-01,15521.866666666667
2023-04-01,15550.200000000000
2023-07-01,15547.400000000000
2023-10-01,15626.900000000000
2024-01-01,.
