Date_Time,Log Geom Diff Henry Hub Natural Gas Spot Price
2024-01-22,0.08894748601649631
2024-01-19,0.1388364448542159
2024-01-18,0.06453852113757116
2024-01-17,-0.006968669316093316
2024-01-16,0.127833371509885
2024-01-11,-1.4328143767547834
2024-01-10,0.03125254350410453
2024-01-09,0.0
2024-01-08,-0.17802311603374008
2024-01-05,0.010969031370573937
2024-01-04,0.028675799976666298
2024-01-03,-0.09637081274801794
2024-01-02,-0.0038986404156571976
2023-12-28,-0.011696039763191411
2023-12-27,0.03089048701933851
2023-12-26,-0.050693114315518095
2023-12-21,-0.02390552085355448
2023-12-20,0.0
2023-12-19,-0.01626052087178029
2023-12-18,0.05965983640633579
2023-12-15,-0.059659836406335875
2023-12-14,-0.020704673361691166
2023-12-13,-0.02542509836581017
2023-12-12,0.017021687569430743
2023-12-11,0.00840341079637938
2023-12-08,0.07261253296370901
2023-12-07,-0.01964699738379642
2023-12-06,0.09097177820572659
2023-12-05,-0.014598799421152523
2023-12-04,-0.06453852113757129
2023-12-01,0.03089048701933851
2023-11-30,0.044617065488806694
2023-11-29,-0.01834913866819643
2023-11-28,0.029199154692262135
2023-11-27,-0.014493007302566639
2023-11-24,-0.007326040092072898
2023-11-21,-0.033648034118232875
2023-11-20,-0.054701135713056834
2023-11-17,0.050891607296389224
2023-11-16,0.10497876341039558
2023-11-15,-0.01036278703554666
2023-11-14,-0.06824910053410681
2023-11-13,-0.030190972279145682
2023-11-10,0.03759841355700759
2023-11-09,0.0
2023-11-08,-0.21762375809061177
2023-11-07,-0.0861776962410524
2023-11-06,0.3038014543316642
2023-11-03,0.10166365377650026
2023-11-02,0.03922071315328133
2023-11-01,0.022187914975362138
2023-10-31,0.04594989019185576
2023-10-30,-0.052239219099419816
2023-10-27,0.021841741915048854
2023-10-26,-0.12126130003270835
2023-10-25,-0.0034904049397686022
2023-10-24,-0.0035026305512020003
2023-10-23,-0.07275935428242843
2023-10-20,-0.019048194970694363
2023-10-19,0.08829260714567821
2023-10-18,0.02777956410707567
2023-10-17,0.006825965070399891
2023-10-16,0.013513719166722855
2023-10-13,0.04269942567382968
2023-10-12,0.01594930140767804
2023-10-11,0.009448889197932289
2023-10-10,0.04594989019185576
2023-10-05,-0.12233885219224414
2023-10-04,0.0
2023-10-03,-0.0746349813885808
2023-10-02,-0.0036968618813260916
2023-09-29,-0.00743497848751809
2023-09-28,0.0221411258772135
2023-09-27,-0.007326040092072898
2023-09-26,-0.06453852113757129
2023-09-25,0.03089048701933851
2023-09-22,0.0
2023-09-21,0.02626792682061032
2023-09-20,0.029199154692262135
2023-09-19,-0.1222895777582742
2023-09-18,0.032002731086173734
2023-09-15,0.07579383936953372
2023-09-14,0.025226562945675563
2023-09-13,-0.01795380361659582
2023-09-12,-0.014598799421152523
2023-09-11,-0.08434114843375093
2023-09-08,0.011928570865273812
2023-09-07,-0.032131278182793065
2023-09-06,0.016194685919980606
2023-09-05,0.043228734550820005
2023-08-31,-0.05324451451881236
2023-08-30,-0.0317486983145803
2023-08-29,0.008032171697264253
2023-08-28,0.03922071315328133
2023-08-25,-0.055350095083164956
2023-08-24,-0.016393809775676383
2023-08-23,0.07174390485884131
2023-08-22,-0.007722046093910278
2023-08-21,0.0077220460939103185
2023-08-18,-0.06351340572232586
2023-08-17,0.04800921918636066
2023-08-16,-0.0039138993211364406
2023-08-15,0.03846628082779614
2023-08-14,0.033398280401848224
2023-08-11,-0.04860769906537693
2023-08-10,0.08092649032054426
2023-08-09,0.031306904625044124
2023-08-08,-0.05273629608094323
2023-08-07,-0.044287680201116356
2023-08-04,-0.046340337258701965
2023-08-03,-0.03622126343431827
2023-08-02,-0.004106781952653359
2023-08-01,0.024391453124159263
2023-07-31,0.03550668845690982
2023-07-28,-0.019570096194097338
2023-07-27,-0.0240011520995429
2023-07-26,0.05129329438755048
2023-07-25,0.022814677766171264
2023-07-24,0.007490671729157659
2023-07-21,-0.0264665731881634
2023-07-20,0.0
2023-07-19,-0.03906746819090951
2023-07-18,0.003976148379639417
2023-07-17,-0.02409755157906053
2023-07-14,0.016129381929883717
2023-07-13,0.0
2023-07-12,0.01980262729617973
2023-07-11,0.007812539736793625
2023-07-10,-0.007812539736793625
2023-07-07,-0.023810648693718333
2023-07-06,0.004008021397538647
2023-07-05,0.058268908123975824
2023-06-30,0.0
2023-06-29,-0.032789822822990956
2023-06-28,0.12147989753770959
2023-06-27,-0.011131840368844181
2023-06-26,-0.02264247674975989
2023-06-23,-0.16566712188881733
2023-06-22,0.022272635609123223
2023-06-21,-0.013303965626362702
2023-06-20,0.06062462181643463
2023-06-15,0.02320289707966401
2023-06-14,-0.06148508365068104
2023-06-13,-0.02469261259037141
2023-06-12,-0.05129329438755058
2023-06-09,-0.02666824708216118
2023-06-08,0.1267517056391438
2023-06-07,0.014184634991956381
2023-06-06,-0.08829260714567831
2023-06-05,-0.015504186535965312
2023-06-02,-0.09844007281325252
2023-06-01,0.01709443335930004
2023-05-31,0.17095779814363948
2023-05-30,0.004750602758597799
2023-05-25,0.17072980863016957
2023-05-24,0.008928630744301398
2023-05-23,-0.013423020332140548
2023-05-22,0.03540192705091579
2023-05-19,0.029980832211935857
2023-05-18,-0.0299808322119359
2023-05-17,-0.021978906718775115
2023-05-16,0.013245226750020505
2023-05-15,-0.013245226750020567
2023-05-12,-0.12783337150988489
2023-05-11,0.044451762570833796
2023-05-10,0.023867481406643486
2023-05-09,0.04609110720026709
2023-05-08,-0.046091107200266976
2023-05-05,-0.13623044959368766
2023-05-04,0.057758834152192254
